ID	MosquitoSpecies	Landscape	BloodSource_Species	BloodSource_Class1	BloodSource_Class2	BloodSource_Class3	BloodSource_Class4	BloodSource_Order	Lat_dec	Long_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	InstAut1	InstAut2	InstAut3	InstAut4
Brown2002	Aedes_vexans	wild	Petrochelidon_pyrrhonota	Aves	NA	NA	NA	Passeriformes	41.219269	-101.749519	"Nebraska,USA"	WebOfScience	article	Mosquito_Abundance_is_Correlated_with_Cliff_Swallow_(Petrochelidon_pyrrhonota)_Colony_Size	2002	Brown	Sethi	NA	NA	University_of_Tulsa	Yale_University	NA	NA
Brown2002	Culex_tarsalis	wild	Petrochelidon_pyrrhonota	Aves	NA	NA	NA	Passeriformes	41.219269	-101.749519	"Nebraska,USA"	WebOfScience	article	Mosquito_Abundance_is_Correlated_with_Cliff_Swallow_(Petrochelidon_pyrrhonota)_Colony_Size	2002	Brown	Sethi	NA	NA	University_of_Tulsa	Yale_University	NA	NA
Forattini1989	Culex_ribeirensis	rural	"Bird,Bos_taurus,Equus_ferus_caballus"	Aves	Mammalia	NA	NA	"Aves,Artiodactyla,Perissodactyla"	-24.630928	-47.906616	"Sao_Paulo,Brasil"	WebOfScience	article	"Feeding_Preferences_and_Domiciliation_of_Culicidae_Mosquitos_in_the_Ribeira_Valley,_Sao_Paulo_State,_Brazil,_with_Particular_Reference_to_Aedes_scapularis_and_Culex_(Melanoconion)."	1989	Forattini	Gomes	Natal	Kakitani	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo
Forattini1989	Culex_sacchettae	rural	"Bird,Bos_taurus"	Aves	Mammalia	NA	NA	"Aves,Artiodactyla"	-24.858807	-47.885715	"Sao_Paulo,Brasil"	WebOfScience	article	"Feeding_Preferences_and_Domiciliation_of_Culicidae_Mosquitos_in_the_Ribeira_Valley,_Sao_Paulo_State,_Brazil,_with_Particular_Reference_to_Aedes_scapularis_and_Culex_(Melanoconion)."	1989	Forattini	Gomes	Natal	Kakitani	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo	Universidade_de_Sao_Paulo
Abella-Medrano2018	Aedes_quadrivittatus	wild	"Homo_sapiens_sapiens,Sturnira_hondurensis"	Mammalia	NA	NA	NA	"Primates,Chiroptera"	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix	2018	Abella-Medrano	Ibanez-Bernal	Carbo-Ramirez	Santiago-Alarcon	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa
Abella-Medrano2018	Culex_restuans	wild	"Homo_sapiens_sapiens,Sturnira_hondurensis,Bos_taurus"	Mammalia	NA	NA	NA	"Primates,Chiroptera,Artiodactyla"	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix	2018	Abella-Medrano	Ibanez-Bernal	Carbo-Ramirez	Santiago-Alarcon	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa
Abella-Medrano2018	Wyeomyia_adelpha	wild	Homo_sapiens_sapiens	Mammalia	NA	NA	NA	Primates	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix	2018	Abella-Medrano	Ibanez-Bernal	Carbo-Ramirez	Santiago-Alarcon	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa	INECOL_Xalapa
Richards2016	Aedes_albopictus	rural	"Homo_sapiens_sapiens,Gallus_gallus_domesticus,Canis_lupus_familiaris"	Mammalia	Aves	NA	NA	"Primates,Galliformes,Carnivora"	35.8	-76.6	USA	Scopus	article	Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina	2006	Richards	Ponnusamy	Unnasch	Hassan	North_Carolina_State_University	Alabama_University	NA	NA
Navia-gine2013	Coquillettidia_venezuelensis	wild	"Sus_scrofa,Equus_caballus,Bos_taurus,Homo_sapiens,Gallus_gallus,Dasypus_novemcinctus,Ortalis_cinereiceps,Aramides_cajanea,Metachirus_nudicaudatus"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Primates,Galliformes,Cingulata,Gruiformes,Didelphimorphia"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Psorophora_cingulata	wild	"Sus_scrofa,Equus_caballus,Bos_taurus,Canis_lupus_familiaris,Homo_sapiens,Dasyppus_novemcinctus,Ortalis_cinereipceps"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Carnivora,Primates,Cingulata,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Mansonia_indubitans	wild	"Sus_scrofa,Equus_caballus,Bos_taurus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Mansonia_titillans	wild	"Sus_scrofa,Equus_caballus,Cochlearius_cochlearius,Bos_taurus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Pelecaniformes,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Culex_nigripalpus	wild	"Equus_caballus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Perissodactyla,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
