ID	MosquitoSpecies	Landscape	Landscape	BloodSourceSpecies	BloodSource_Class	BloodSource_Order	LatN_dec	LongW_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	Author5	InstAut1	InstAut2	InstAut3	InstAut4	InstAut5		
Brown2002	Aedes_vexans	wild	wild	Petrochelidon_pyrrhonota	Aves	Passeriformes	41.219269	-101.749519	"Nebraska,USA"	WebOfScience	article	Mosquito Abundance is Correlated with Cliff Swallow (Petrochelidon pyrrhonota) Colony Size	2002	"Brown, Charles R."	"Sethi, Rajni A."	NA	NA	NA	University_of_Tulsa	Yale_University	NA	NA	NA		
Brown2002	Culex_tarsalis	wild	wild	Petrochelidon_pyrrhonota	Aves	Passeriformes	41.219269	-101.749519	"Nebraska,USA"	WebOfScience	article	Mosquito Abundance is Correlated with Cliff Swallow (Petrochelidon pyrrhonota) Colony Size	2002	"Brown, Charles R."	"Sethi, Rajni A."	NA	NA	NA	University_of_Tulsa	Yale_University	NA	NA	NA		
Forattini1989	Culex_ribeirensis	rural	rural	"Bird,Bos_taurus,Equus_ferus_caballus"	"Aves, Mammalia"	"Aves, Artiodactyla, Perissodactyla"	-24.630928	-47.906616	"Sao_Paulo,Brasil"	WebOfScience	article	"Feeding Preferences and Domiciliation of Culicidae Mosquitos in the Ribeira Valley, Sao Paulo State, Brazil, with Particular Reference to Aedes scapularis and Culex (Melanoconion)."	1989	"Forattini, Oswaldo Paulo"	"Gomes, AlmÇrio de Castro"	"Natal, DÇlsio"	"Kakitani, In†"	"Marucci, Daniel"	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo		
Forattini1989	Culex_sacchettae	rural	rural	"Bird,Bos_taurus"	"Aves, Mammalia"	"Aves, Artiodactyla"	-24.858807	-47.885715	"Sao_Paulo,Brasil"	WebOfScience	article	"Feeding Preferences and Domiciliation of Culicidae Mosquitos in the Ribeira Valley, Sao Paulo State, Brazil, with Particular Reference to Aedes scapularis and Culex (Melanoconion)."	1989	"Forattini, Oswaldo Paulo"	"Gomes, AlmÇrio de Castro"	"Natal, DÇlsio"	"Kakitani, In†"	"Marucci, Daniel"	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo	Universidade de Sao Paulo		
Abella-Medrano2018	Aedes_quadrivittatus	"urban_forest,preserved_forest,periurban_forest,coffee_plantation,cattle_field"	"wild,urban,rural"	"Homo_sapiens_sapiens,Sturnira_hondurensis"	Mammalia 	"Primates, Chiroptera"	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix	2018	"Abella-Medrano, Carlos Antonio"	"Ib†§ez-Bernal, Sergio"	"Carb¢-Ram°rez, Pilar"	"Santiago-Alarcon, Diego"	NA	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	NA		
Abella-Medrano2018	Culex_restuans	"urban_forest,preserved_forest,periurban_forest,coffee_plantation,cattle_field"	"wild,urban,rural"	"Homo_sapiens_sapiens,Sturnira_hondurensis,Bos_taurus"	Mammalia 	"Primates, Chiroptera, Artiodactyla"	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix	2018	"Abella-Medrano, Carlos Antonio"	"Ib†§ez-Bernal, Sergio"	"Carb¢-Ram°rez, Pilar"	"Santiago-Alarcon, Diego"	NA	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	NA		
Abella-Medrano2018	Wyeomyia_adelpha	"urban_forest,preserved_forest,periurban_forest"	"wild,urban,rural"	Homo_sapiens_sapiens	Mammalia 	Primates 	19.514444	-96.936667	"Veracruz,Mexico"	Scopus	article	Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix	2018	"Abella-Medrano, Carlos Antonio"	"Ib†§ez-Bernal, Sergio"	"Carb¢-Ram°rez, Pilar"	"Santiago-Alarcon, Diego"	NA	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	"INECOL_Xalapa,"	NA		
Richards2016	Aedes_albopictus 	"sub_urban,periurban_forest"	rural	"Homo_sapiens_sapiens, Gallus_gallus_domesticus, Canis_lupus_familiaris"	"Mammalia, Aves"	"Primates, Galliformes, Carnivora"	35.8	-76.6	USA	Scopus	article	Host-feeding patterns of Aedes albopictus (Diptera: Culicidae) in relation to availability of human and domestic animals in suburban landscapes of central North Carolina	2006	"Richards S.L., "	"Ponnusamy L., "	"Unnasch T.R., "	"Hassan H.K.,"	Apperson C.S.	 North_Carolina_State_University	Alabama_University	NA	NA	NA		
Navia-gine2013	Coquillettidia_venezuelensis	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild 	"Sus_scrofa,Equus_caballus,Bos_taurus,Homo_sapiens,Gallus_gallus,Dasypus_novemcinctus,Ortalis_cinereiceps,Aramides_cajanea,Metachirus_nudicaudatus"	"Mammalia, Aves"	"Artiodactyla, Perissodactyla, Primates, Galliformes, Cingulata, Gruiformes, Didelphimorphia "	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Psorophora_cingulata	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Sus_scrofa,Equus_caballus,Bos_taurus,Canis_lupus_familiaris,Homo_sapiens,Dasyppus_novemcinctus,Ortalis_cinereipceps"	"Mammalia, Aves"	"Artiodactyla, Perissodactyla, Carnivora, Primates, Cingulata, Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Mansonia_indubitans	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Sus_scrofa, Equus_caballus, Bos_taurus, Gallus_gallus"	"Mammalia, Aves"	"Artiodactyla, Perissodactyla, Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
