Follow_up,Mail,Title,mail,LatN_dec,LongW_dec,Comments,ID,author_key,MosquitoSpecies1,host_richness,sd,n,vertebrate_site_diversity,Landscape,Landscape1,BloodSource1,BloodSource2,BloodSource3,BloodSource4,BloodSource5,BloodSource6,BloodSource7,BloodSource8,BloodSource9,BloodSource10,BloodSource11,BloodSource12,BloodSource13,BloodSource14,BloodSource15,BloodSource16,BloodSource17,BloodSource18,BloodSource19,BloodSource20,BloodSource21,BloodSource22,BloodSource23,BloodSource24,BloodSource25,BloodSource26,BloodSource27,BloodSource28,BloodSource29,BloodSource30,BloodSource31,BloodSource32,BloodSource33,BloodSource34,BloodSource35,BloodSource36,BloodSource37,BloodSource38,BloodSource39,BloodSource40,BloodSource41,BloodSource42,BloodSource43,BloodSource44,BloodSource45,BloodSource46,BloodSource47,BloodSource48,BloodSource49,BloodSource50,BloodSource51,BloodSource52,BloodSource53,BloodSource54,BloodSource55,BloodSource56,Mammalia,Aves,Amphibia,Reptilia,BloodSource_Orden,Location,Database,StudyType,Title2,Year,Author1,Author2,Author3,Author4,Author5,InstAut1,InstAut2,InstAut3,InstAut4,InstAut5,Landscape2
ok,si,Host reproductive phenology drives seasonal patterns of host use in mosquitoes,rkend@auburn.edu,"32,478,846","-85,609,963",NA,13,Burkett-Cadena2011,Culex_erraticus,56,NA,NA,NA,wild,wild,Nyctanassa_violacea,Coccyzus_americanus,Hylocichla_mustelina,Aix_sponsa,Meleagris_gallopavo,Sus_scrofa,Odocoileus_virginianus,Vireo_griseus,Baeolophus_bicolor,Sylvilagus_aquaticus,Piranga_rubra,Archilochus_colubris,Trachemys_scripta_elegans,Procyon_lotor,"Nerodia_erythrogaster,",Dryophytes_femoralis,Setophaga_pinus,Podilymbus_podiceps,Icterus_spurius,Mimus_polyglottos,Homo_sapiens_sapiens,Empidonax_virescens,Sceloporus_undulatus,Geothlypis_formosa,Cardinalis_cardinalis,Castor_canadensis,Haemorhous_mexicanus,Setophaga_citrina,Dumetella_carolinensis,Butorides_virescens,Ardea_alba,Botaurus_lentiginosus,Turdus_migratorius,Anhinga_anhinga,Strix_varia,Pantherophis_obsoletus,Passerina_caerulea,Cyanocitta_cristata,Lithobates_catesbeianus,Crotalus_horridus,Poecile_carolinensis,Carolina,Quiscalus_quiscula,Dryophytes_chrysoscelis,Agkistrodon_piscivorus,Bos_taurus,Canis_lupus_familiaris,Terrapene_carolina_carolina,Sylvilagus_floridanus,Coluber_constrictor,Thamnophis_sauritus_sauritus,Megascops_asio,Neotoma_floridana,Neotoma_floridana,Liodytes_rigida_rigida,Ardea_herodias,10,32,3,11,NA,"Alabama,USA",Scopus,article,Host reproductive phenology drives seasonal patterns of host use in mosquitoes,2011,Burkett-Cadena N.D.,McClure C.J.W.,Ligon R.A.,Graham S.P.,"Guyer C., Hill G.E., Ditchkoff S.S., Eubanks M.D., Hassan H.K., Unnasch T.R.",Auburn_University,Auburn_University,Auburn_University,Auburn_University,Auburn_University,wild
ok,si,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,ghamer@msu.edu,41.7,-87.73,NA,12,Hamer2009,Culex_pipiens,32,NA,NA,NA,urban,urban,Felis_catus,Catharus_fuscescens,Catharus_ustulatus,Melospiza_melodia,Columba_livia,Piranga_olivacea,Agelaius_phoeniceus,Colaptes_auratus,Cardinalis_cardinalis,Zenaida_macroura,Passer_domesticus,Troglodytes_aedon,Haemorhous_mexicanus,Dumetella_carolinensis,Sturnus_vulgaris,Accipiter_cooperii,Canis_lupus_familiaris,Quiscalus_quiscula,Serinus_canaria_domestica,Spizella_passerina,Bombycilla_cedrorum,Toxostoma_rufum,Falco_sparverius,Cyanocitta_cristata,Poecile_atricapillus,Turdus_migratorius,Spinus_tristis,Odocoileus_virginianus,Sciurus_carolinensis,Didelphis_virginiana,Homo_sapiens_sapiens,Procyon_lotor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,0,0,NA,"Illinois,USA",Scopus,article,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,2009,"Hamer, G.L.","Kitron, Uriel D.","Goldberg, Tony L.","Brawn, Jeffrey D.","Loss, S. R., Ruiz, M. O., Hayes, D. B., Walker E. D.",Michigan_State_University,Michigan_State_University,Emory_University,University_of_Wisconsin,University_of_Illinois,disturbed
ok,si,"Identification of blood meal sources in aedes vexans and culex quinquefasciatus in Bernalillo County, New Mexico",jgreenbe@unm.edu;dlujan5@unm.edu; mdimenna@cabq.gov; hwearing@unm.edu; brunoh@unm.edu,"35,077,787","-10,666,265",zoologicos,17,Greenberg2013,Culex_quinquefasciatus,31,NA,NA,NA,urban,urban,Anser_anser,Anas_platylyrhynchos,Cairina_moschata,Dromaius_novaehollandiae,Turdus_migratorius,Accipiter_cooperi,Carduelis_psaltria_columbiana,Carpodacus_mexicanus,Columba_livia,Gallus_gallus_domesticus,Geococcyx_califorians,Meleagris_gallopavo,Passer_domesticus,Phasianus_colchicus,Pheucticus_melanocephalus,Streptopelia_decaocto,Struthio_camelus,Trichoglossus_haematodus,Tyrannus_melancholicus,Vultur_gryphus,Zenaida_macroura,Bos_taurus,Canis_latrans,Canis_lupus_familiaris,Ceratotherium_simum,Equus_ferus_caballus,Hylobates_syndactylus,Mus_musculus,Panthera_tigris,Potamochoerus_porcus,Panthera_uncia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,21,0,0,NA,"Rio_Grande_Zoo,New_Mexico,USA",Scopus,article,"Identification of blood meal sources in aedes vexans and culex quinquefasciatus in Bernalillo County, New Mexico",2013,Greenberg J.A.,Lujan D.A.,Dimenna M.A.,Wearing H.J.,Hofkin B.V.,University_of_New_Mexico,University_of_New_Mexico,City_of_Albuquerque_Environmental_Health_Department,University_of_New_Mexico,University_of_New_Mexico,disturbed
ok,si,"Identification of blood meal sources in aedes vexans and culex quinquefasciatus in Bernalillo County, New Mexico",jgreenbe@unm.edu;dlujan5@unm.edu; mdimenna@cabq.gov; hwearing@unm.edu; brunoh@unm.edu,"35,077,787","-10,666,265",zoologicos,17,Greenberg2013,Aedes_vexans,29,NA,NA,NA,urban,urban,Anser_anser,Anas_platylyrhynchos,Cairina_moschata,Dromaius_novaehollandiae,Turdus_migratorius,Ailurus_fulgens,Alopex_lagopus,Bos_taurus,Bubalis_bubalis,Camelus_bacteranus,Camelus_dromedarius,Canis_latrans,Canis_lupus_familiaris,Capra_hircus,Ceratotherium_simum,Equus_asinius,Equus_ferus_caballus,Hippopotamus_amphibious,Homo_sapiens_sapiens,Lama_glama,Lama_guanicoe,Lama_pacos,Macropus_rufus,Mephitis_mephitis,Ovis_aries,Panthera_leo,Panthera_tigris,Potamochoerus_porcus,Sylvilagus_audubonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,0,0,NA,"Rio_Grande_Zoo,New_Mexico,USA",Scopus,article,"Identification of blood meal sources in aedes vexans and culex quinquefasciatus in Bernalillo County, New Mexico",2013,Greenberg J.A.,Lujan D.A.,Dimenna M.A.,Wearing H.J.,Hofkin B.V.,University_of_New_Mexico,University_of_New_Mexico,City_of_Albuquerque_Environmental_Health_Department,University_of_New_Mexico,University_of_New_Mexico,disturbed
ok,si,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,ghamer@msu.edu,41.7,-87.73,NA,12,Hamer2009,Culex_restuans,23,NA,NA,NA,urban,urban,Hyla_versicolor,Homo_sapiens_sapiens,Procyon_lotor,Sciurus_carolinensis,Sylvilagus_floridanus,Turdus_migratorius,Cyanocitta_cristata,Molothrus_ater,Quiscalus_quiscula,Sialia_sialis,Sturnus_vulgaris,Spizella_pusilla,Dumetella_carolinensis,Haemorhous_mexicanus,Passer_domesticus,Anas_platyrhynchos,Zenaida_macroura,Cardinalis_cardinalis,Agelaius_phoeniceus,Piranga_olivacea,Melospiza_melodia,Melospiza_georgiana,Catharus_fuscescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,18,1,0,"Anura, Primates, Carnivora, Rodentia, Lagomorpha, Passeriformes, Anseriformes, Columbiformes, ","Illinois,USA",Scopus,article,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,2009,"Hamer, G.L.","Kitron, Uriel D.","Goldberg, Tony L.","Brawn, Jeffrey D.","Loss, S. R., Ruiz, M. O., Hayes, D. B., Walker E. D.",Michigan_State_University,Michigan_State_University,Emory_University,University_of_Wisconsin,University_of_Illinois,disturbed
ok,si,Host reproductive phenology drives seasonal patterns of host use in mosquitoes,rkend@auburn.edu,"32,478,846","-85,609,963",NA,13,Burkett-Cadena2011,Culex_peccator,19,NA,NA,NA,wild,wild,Botaurus_lentiginosus,Lithobates_catesbeianus,Crotalus_horridus,Agkistrodon_piscivorus,Sylvilagus_floridanus,Coluber_constrictor,Thamnophis_sauritus_sauritus,Ardea_herodias,Butorides_virescens,Anolis_carolinensis,Lithobates_clamitans,Dryophytes_cinereus,Homo_sapiens_sapiens,Lithobates_sp.,Nerodia_erythrogaster,Odocoileus_virginianus,Sus_scrofa,Aix_sponsa,Nyctanassa_violacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,6,NA,"Alabama,USA",Scopus,article,Host reproductive phenology drives seasonal patterns of host use in mosquitoes,2011,Burkett-Cadena N.D.,McClure C.J.W.,Ligon R.A.,Graham S.P.,"Guyer C., Hill G.E., Ditchkoff S.S., Eubanks M.D., Hassan H.K., Unnasch T.R.",Auburn_University,Auburn_University,Auburn_University,Auburn_University,Auburn_University,wild
NA,no,Innate preference or opportunism: Mosquitoes feeding on birds of prey at the Southeastern Raptor Center,nburkett@health.usf.edu,"32,597,058","-85,514,339",centro_rehab_aves_presa,18,Burkett-Cadena2014,Culex_quinquefasciatus,18,NA,NA,NA,urban,urban,Tyto_alba,Strix_varia,Cyanocitta_cristata,Toxostoma_rufum,Poecile_carolinensis,Thryothorus_ludovicianus,Quiscalus_quiscula,Sayornis_phoebe,Aquila_chrysaetos,Bubo_virginianus,Zenaida_macroura,Cardinalis_cardinalis,Buteo_jamaicensis,Baeolophus_bicolor,Meleagris_gallopavo,Rattus_norvegicus,Homo_sapiens_sapiens,Odocoileus_virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,0,0,NA,"Southeastern_Raptor_Center,Alabama,USA",Scopus,article,Innate preference or opportunism: Mosquitoes feeding on birds of prey at the Southeastern Raptor Center,2014,Burkett-Cadena N.D.,Bingham A.M.,Porterfield C.,Unnasch T.R.,NA,"Auburn_University,University_of_South_Florida,University_of_Florida",University_of_South_Florida,"Auburn_University,Boise_State_University",University_of_South_Florida,NA,disturbed
ok,si,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,ghamer@msu.edu,41.7,-87.73,NA,12,Hamer2009,Aedes_vexans,16,NA,NA,NA,urban,urban,Felis_catus,Canis_lupus_familiaris,Homo_sapiens_sapiens,Didelphis_virginiana,Procyon_lotor,Odocoileus_virginianus,Sylvilagus_floridanus,Turdus_migratorius,Gallus_gallus_domesticus,Spizella_passerina,Serinus_canaria_domestica,Haemorhous_mexicanus,Passer_domesticus,Zenaida_macroura,Piranga_olivacea,Meleagris_gallopavo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,0,0,"Carnivora, Primates, Didelphimorphia, Artiodactyla, Lagomorpha, Passeriformes, Galliformes, Columbiformes, ","Illinois,USA",Scopus,article,Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification,2009,"Hamer, G.L.","Kitron, Uriel D.","Goldberg, Tony L.","Brawn, Jeffrey D.","Loss, S. R., Ruiz, M. O., Hayes, D. B., Walker E. D.",Michigan_State_University,Michigan_State_University,Emory_University,University_of_Wisconsin,University_of_Illinois,disturbed
NA,no,Innate preference or opportunism: Mosquitoes feeding on birds of prey at the Southeastern Raptor Center,nburkett@health.usf.edu,"32,597,058","-85,514,339",centro_rehab_aves_presa,18,Burkett-Cadena2014,Culex_erraticus,16,NA,NA,NA,urban,urban,Lithobates_catesbeianus,Haliaeetus_leucocephalus,Strix_varia,Nycticorax_nycticorax,Thryothorus_ludovicianus,Bubo_virginianus,Cardinalis_cardinalis,Buteo_jamaicensis,Cathartes_aura,Meleagris_gallopavo,Rattus_norvegicus,Homo_sapiens_sapiens,Bos_taurus,Procyon_lotor,Didelphis_virginiana,Odocoileus_virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,1,0,NA,"Southeastern_Raptor_Center,Alabama,USA",Scopus,article,Innate preference or opportunism: Mosquitoes feeding on birds of prey at the Southeastern Raptor Center,2014,Burkett-Cadena N.D.,Bingham A.M.,Porterfield C.,Unnasch T.R.,NA,"Auburn_University,University_of_South_Florida,University_of_Florida",University_of_South_Florida,"Auburn_University,Boise_State_University",University_of_South_Florida,NA,disturbed
ok,si,Blood-feeding ecology of mosquitoes in zoos,htuten@gmail.com,"34,009,656","-81,073,038",zoologicos,16,Tuten2012,Culex_erraticus,14,NA,NA,NA,urban,urban,Balearica_regulorum,Cardinalis_cardinalis,Dumetella_carolinensis,Poecile_carolinensis,Phoenicopterus_ruber,Ramphastos_sulfuratus,Struthio_camelus,Sturnus_vulgaris,Zenaida_macroura,Equus_ferus_caballus,Homo_sapiens_sapiens,Procyon_lotor,Lemur_catta,Chelonoidis_nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,1,NA,"Riverbanks_Zoo,South_Carolina,USA",Scopus,article,Blood-feeding ecology of mosquitoes in zoos,2012,Tuten H.C.,Bridges W.C.,Paul K.S.,Adler P.H.,NA,Clemson_University,Clemson_University,Clemson_University,Clemson_University,NA,disturbed
