"mosquito_sp","host","landscape"
"Aedes_aegypti",8,"disturbed"
"Aedes_albopictus",5,"disturbed"
"Aedes_crinifer",2,"disturbed"
"Aedes_fulvus",3,"disturbed"
"Aedes_fulvus",6,"wild"
"Aedes_mediovittatus",10,"disturbed"
"Aedes_scapularis",7,"disturbed"
"Aedes_scapularis",8,"wild"
"Aedes_serratus",6,"disturbed"
"Aedes_serratus",7,"wild"
"Aedes_terrens",5,"disturbed"
"Aedes_terrens",4,"wild"
"Aedes_triseriatus",2,"disturbed"
"Aedes_vexans",29,"disturbed"
"Aedes_vexans",8,"wild"
"Anopheles_cruzii",1,"disturbed"
"Anopheles_cruzii",6,"wild"
"Anopheles_darlingi",6,"disturbed"
"Anopheles_darlingi",6,"wild"
"Anopheles_punctipennis",6,"disturbed"
"Anopheles_quadrimaculatus",2,"disturbed"
"Coquillettidia_venezuelensis",5,"disturbed"
"Coquillettidia_venezuelensis",9,"wild"
"Culex_erraticus",16,"disturbed"
"Culex_erraticus",56,"wild"
"Culex_pipiens",32,"disturbed"
"Culex_quinquefasciatus",31,"disturbed"
"Culex_quinquefasciatus",8,"wild"
"Culex_restuans",23,"disturbed"
"Culex_restuans",1,"wild"
"Culex_salinarius",2,"disturbed"
"Culex_territans",5,"disturbed"
"Culex_territans",11,"wild"
"Haemagogus_janthinomys/capricornii",6,"disturbed"
"Haemagogus_leucocelaenus",2,"disturbed"
"Haemagogus_leucocelaenus",6,"wild"
"Mansonia_humeralis",5,"disturbed"
"Mansonia_titillans",5,"disturbed"
"Mansonia_titillans",6,"wild"
"Psorophora_albigenu",7,"disturbed"
"Psorophora_albigenu",7,"wild"
"Psorophora_discrucians",5,"disturbed"
"Psorophora_ferox",5,"disturbed"
"Psorophora_ferox",7,"wild"
"Sabethes_albiprivus",2,"disturbed"
"Sabethes_chloropterus",1,"disturbed"
"Sabethes_quasicyaneus",1,"disturbed"
"Wyeomyia_sp.",4,"disturbed"
"Aedes_quadrivittatus",2,"wild"
"Aedes_sticticus",4,"wild"
"Anopheles_albitarsis",7,"wild"
"Anopheles_apicimacula",1,"wild"
"Anopheles_aquasalis",2,"wild"
"Anopheles_argyritarsis",3,"wild"
"Anopheles_benarrochi",3,"wild"
"Anopheles_eiseni",2,"wild"
"Anopheles_evansae",7,"wild"
"Anopheles_intermedius",4,"wild"
"Anopheles_minor",1,"wild"
"Anopheles_punctimacula",1,"wild"
"Anopheles_rangeli",2,"wild"
"Anopheles_strodei",3,"wild"
"Anopheles_triannulatus",5,"wild"
"Chagasia_fajardi",7,"wild"
"Coquillettidia_juxtamansonia",4,"wild"
"Coquillettidia_perturbans",3,"wild"
"Culex_(Melanoconion)_sp.",1,"wild"
"Culex_bastagarius",8,"wild"
"Culex_coronator",1,"wild"
"Culex_declarator",8,"wild"
"Culex_erythrothorax",4,"wild"
"Culex_nigripalpus",2,"wild"
"Culex_peccator",19,"wild"
"Culex_pleuristriatus",8,"wild"
"Culex_tarsalis",4,"wild"
"Culex_usquatus",7,"wild"
"Mansonia_indubitans",4,"wild"
"Psorophora_albipes",5,"wild"
"Psorophora_cingulata",7,"wild"
"Runchomyia_theobaldi",7,"wild"
"Trichoprosopon_digitatum",5,"wild"
"Wyeomyia_adelpha",1,"wild"
