"o_bf_pmid","title","author","citation","first_author","journal_book","publication_year","create_date","pmcid","nihms_id","doi","address","year","source","abstract","url","notes","proceedings_title","supertaxa","date_generated","document_type","language","author_full","author_book","author_book_full","author_group","author_group_1","editor","email","orcid_id","address_1","reprint_address","researcher_id","date_early_access","date_published","source_abbreviated","source_abbreviated_1","secondary_source_id","book_series_title","book_series_subtitle","volume","issue","secondary_source_id_1","article_number","supplement","pages","start_page","start_page_1","end_page","pages_1","keywords","keywords_plus","doi_book","isbn","issn","eissn","keywords_plus_1","pubmed_id","accession_number","document_delivery_id","eppi_id","conference_name","conference_host","conference_location","address_2","start_page_2","meeting_abstract","publisher","place_published","address_3","place_published_1","place_published_2","patent_number","open_access","funding_agency","funding_text","wos_categories","research_areas","n_cited","n_cited_allwos","esi_highly_cited","esi_hot_paper","eppi_id_1","usage_2013","references_n","cited_references","row_names","o_bf_pt","filename","n_duplicates"
28051192,"Global Warming and Its Health Impact","Rossati A.","Int J Occup Environ Med. 2017 Jan;8(1):7-20. doi: 10.15171/ijoem.2017.963.","Rossati A","Int J Occup Environ Med",2017,"2017/01/05","PMC6679631","","10.15171/ijoem.2017.963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",1
27580489,"Complexity of virus–vector interactions","Kramer, L.D.","Curr Opin Virol. 2016 Dec;21:81-86. doi: 10.1016/j.coviro.2016.08.008. Epub 2016 Aug 28.","Kramer LD","Curr Opin Virol",2016,"2016/09/01","PMC5138088","NIHMS813725","10.1016/j.coviro.2016.08.008","Wadsworth Center, NYSDOH, Zoonotic Diseases, 5668 State Farm Rd, Slingerlands, NY, 12159, United States and School of Public Health, SUNY Albany, One University Place, NY 12144, Rensselaer, United States","2016","Current Opinion in Virology","The inter-relationships among viruses, vectors and vertebrate hosts are complex and dynamic and shaped by biotic (e.g., viral strain, vector genetics, host susceptibility) and abiotic (e.g., temperature, rainfall, human land use) factors. It is anticipated that changes in climate, as predicted by the most recent Report of the Intergovernmental Panel on Climate Change, will result in landscape changes and consequent changes in spatiotemporal patterns of arbovirus transmission. To anticipate evolving patterns of virus activity in a dynamically changing environment, it is important to understand how interconnectedness of mosquito and virus biology together with climate influence arbovirus transmission intensity. Vector competence, survivorship, and feeding behavior, among other aspects of vectorial capacity are intrinsically important to estimate risk and design control approaches. © 2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983489994&doi=10.1016%2fj.coviro.2016.08.008&partnerID=40&md5=7b39828be844e4b81df03a94fb66a1e5","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
31401192,"A patent perspective on chikungunya","Dapurkar, D. and Telang, M.","Acta Trop. 2019 Nov;199:105131. doi: 10.1016/j.actatropica.2019.105131. Epub 2019 Aug 8.","Dapurkar D","Acta Trop",2019,"2019/08/12","","","10.1016/j.actatropica.2019.105131","Council of Scientific & Industrial Research-Unit for Research and Development of Information Products, (CSIR-URDIP), Pune, 411008, India","2019","Acta Tropica","Chikungunya is a viral disease caused by chikungunya virus (CHIKV) belonging to the Alphavirus genus and transmitted to humans by mosquitoes of Aedes spp. Nearly 40 countries in Asia, Africa, Europe, and the Americas have documented chikungunya cases. Most recent severe outbreaks have occurred in Indian Ocean islands of Réunion and Mauritius and India. There is no specific drug treatment for the disease, neither is there a standardized vaccine available for prevention of the disease. The present review gives a global perspective on patents filed pertaining to chikungunya. The United States has been the top patent filing jurisdiction followed by China, Europe, and India. The patents have been classified into categories of therapeutics, diagnostics, and vaccines. Maximum patent documents fall under the therapeutics category, in which patent applications are predominantly related to chemically derived drugs. They include nucleic acid analogues, various other host and virus enzyme/protein inhibitors. Patents on biological or plant derived drugs are being filed relatively recently. In the category of diagnostics, immunoassay based tests seemed to be of choice until the year 2005, whereas, patent filings for molecular diagnostics have now surpassed those with immunoassay techniques. In the vaccines category, vaccines based on viral vectors appear to be emerging as the preferred vaccine platform with the majority of patents filed in the years 2014-2017. Corporate sector has the most patent filings to its credit, followed closely by academic institutions. Pasteur Institut along with Chinese Agency for Science, Technology and Research is the top patent filing entity in chikungunya related technology space. Presently, nine vaccine products, three antiviral drugs and one mRNA based gene therapy are under development. Three vaccine products have been given fast track designation by US Food and Drug Administration (FDA) to expedite review and facilitate the development of a vaccine to prevent a serious or life-threatening condition and fill an unmet medical need. Similarly, one vaccine has been given PRIME (Priority Medicines) status by the European Medicines Agency (EMA). © 2019 Elsevier B.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071296969&doi=10.1016%2fj.actatropica.2019.105131&partnerID=40&md5=59721434b1bb127f059d1012b9738acc","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
30474300,"Mosquito bloodmeal preferences in two zoological gardens in Germany","Heym EC and Kampen H and SchC$fer M and Walther D.","Med Vet Entomol. 2019 Jun;33(2):203-212. doi: 10.1111/mve.12350. Epub 2018 Nov 25.","Heym EC","Med Vet Entomol",2019,"2018/11/27","","","10.1111/mve.12350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",1
31628631,"Evidence that Passerine Birds Act as Amplifying Hosts for Usutu Virus Circulation","Roiz, D. and Vázquez, A. and Ruiz, S. and Tenorio, A. and Soriguer, R. and Figuerola, J.","Ecohealth. 2019 Dec;16(4):734-742. doi: 10.1007/s10393-019-01441-3. Epub 2019 Oct 18.","Roiz D","Ecohealth",2019,"2019/10/20","","","10.1007/s10393-019-01441-3","UMR, IRD224-CNRS5290-UM, Infectious Diseases and Vectors: Ecology, Genetics, Evolution and Control (MIVEGEC), Institut de Recherche pour le Développement (IRD), 911, Avenue Agropolis, Montpellier, 34394, France and Estación Biológica de Doñana (CSIC), Av. Américo Vespucio, 26, Seville, 41092, Spain and Laboratorio de Arbovirus y Enfermedades Viricas Importadas, Centro Nacional de Microbiologia, Instituto de Salud Carlos III, Majadahonda, Madrid, Spain and Diputación de Huelva, Área de Medio Ambiente, Servicio de Control de Mosquitos, Huelva, Spain and CIBER Epidemiología y Salud Publica (CIBERESP), Madrid, Spain","2019","EcoHealth","Environment determines the distribution and prevalence of vector-borne pathogens due to its direct and indirect effects on the hosts, vectors, and pathogens. To investigate the relationship between Usutu virus occurrence and host biodiversity and to characterize the nidus of infection, we used field-based measures of host diversity and density (all birds and only passerines), vector abundance, landscape and Usutu virus prevalence (mosquito infection rate), an emergent disease with a similar cycle to West Nile virus. We collected 908,237 female mosquitoes in an area of 54,984� ha in the Doñana National Park, southern Spain. We identified the mosquitoes and screened them for viruses, censused birds, characterized landscape and climatic variables, and then modeled the presence and infection rate of the virus in relation to host, vector, climatic, and landscape variables. Monthly Usutu presence, detected in Culex perexiguus, was positively related to Passeriformes richness and secondarily to NDVI in the previous month. Our results suggest that Usutu prevalence may be higher when and where host (passerine) richness was high, and thus challenging the conventional idea that host biodiversity reduces flavivirus amplification. © 2019, EcoHealth Alliance.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074777470&doi=10.1007%2fs10393-019-01441-3&partnerID=40&md5=52f65418f3cb51b418bc2994c10a2467","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
30107815,"Bionomics and vectorial role of anophelines in wetlands along the volcanic chain of Cameroon","Amvongo-Adjia, N. and Wirsiy, E.L. and Riveron, J.M. and Chounna Ndongmo, W.P. and Enyong, P.A. and Njiokou, F. and Wondji, C.S. and Wanji, S.","Parasit Vectors. 2018 Aug 14;11(1):471. doi: 10.1186/s13071-018-3041-z.","Amvongo-Adjia N","Parasit Vectors",2018,"2018/08/16","PMC6092805","","10.1186/s13071-018-3041-z","Parasitology and Ecology Laboratory, Animal Biology and Physiology Department, Faculty of Science, University of Yaoundé 1, Yaoundé, Cameroon and Research Foundation for Tropical Diseases and the Environment (REFOTDE), Buea, Cameroon and Centre for Medical Research, Institute of Medical Research and Medicinal Plants Studies (IMPM), Yaoundé, Cameroon and Parasite and Vector Biology Research Unit (PAVBRU), Microbiology and Parasitology Department, University of Buea, Buea, Cameroon and Vector Biology Department, Liverpool School of Tropical Medicine, Liverpool, L3 5QA, United Kingdom and Centre for Research in Infectious Diseases (CRID), LSTM Research Unit, Yaoundé, Cameroon","2018","Parasites and Vectors","Background: The epidemiological profiles of vector-borne diseases, such as malaria, are strongly associated with landscape components. The reduction of malaria burden in endemic and epidemic regions mainly depends on knowledge of the malaria-transmitting mosquito species, populations and behavioural characteristics, as well as malaria exposure risks. This work aimed at carrying out a holistic study in order to characterise Anopheles species in relation to human malaria in seven wetlands along the lower section of the volcanic chain of Cameroon. Results: Eight malaria vectors: Anopheles arabiensis, An. coluzzii, An. funestus (s.s.), An. gambiae, An. hancocki, An. melas, An. nili and An. ziemanni, were found biting humans. Anopheles gambiae was widespread; however, it played a secondary role in the Ndop plain where An. ziemmani was the primary vector species (79.2%). Anophelines were more exophagic (73.6%) than endophagic (26.4%), showing a marked nocturnal activity (22:00-4:00 h) for An. coluzzii and An. gambiae while An. funestus (s.s.) was mostly caught between 1:00 and 6:00 h and An. ziemanni having an early evening biting behaviour (18:00-00:00 h). Female Anopheles were mostly observed to have relative high parity rates (≥ 70%), with the exception of the Meanja site where species parity varies from 46 to 55%. Overall, the transmission level was low with entomological inoculation rates estimated to 0.7 infected bites per person per month (ib/p/mth) in Tiko and Ndop, 1.4 ib/p/mth in Mamfe and 2.24 ib/p/mth in Santchou. Conclusions: The present study represents detailed Anopheles vector characterisation from an understudied area along the volcanic chain of Cameroon with endemic malaria transmission. The significant differences in bionomics and Anopheles species distribution within the studied wetlands, highlights the importance of providing baseline data and an opportunity to assess the outcome of ongoing malaria control interventions in the country. © 2018 The Author(s).","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051481808&doi=10.1186%2fs13071-018-3041-z&partnerID=40&md5=45f787d57b25006a6997909d9bbdac62","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
29216368,"Ross River Virus and the Necessity of Multiscale, Eco-epidemiological Analyses","Flies, E.J. and Weinstein, P. and Anderson, S.J. and Koolhof, I. and Foufopoulos, J. and Williams, C.R.","J Infect Dis. 2018 Feb 14;217(5):807-815. doi: 10.1093/infdis/jix615.","Flies EJ","J Infect Dis",2018,"2017/12/08","","","10.1093/infdis/jix615","School of Pharmacy and Medical Sciences, University of South Australia, Australia and School of Biological Sciences, Adelaide University, Adelaide, Australia and School of Biological Sciences, University of Tasmania, Private Bag 55, Hobart, TAS  7001, Australia and Menzies Institute for Medical Research, University of Tasmania, Hobart, Australia and School of Natural and Built Environments, University of South Australia, Mawson Lakes, Australia and School of Sustainability and the Environment, University of Michigan, Ann Arbor, United States","2018","Journal of Infectious Diseases","Background. Zoonotic vector-borne disease prevalence is affected by vector, human, and reservoir host factors, which are influenced by habitat and climate; these 5 components interact on microhabitat-to-landscape scales but are often analyzed at a single spatial scale. Methods. We present an information theoretic, multiscale, multiple regression analysis of the ecological drivers of Ross River virus. We analyze the spatial pattern of 20 years of Ross River virus infections from South Australia (1992-2012; n = 5261), using variables across these 5 components of disease ecology at 3 spatial scales. Results. We found that covariate importance depended on the spatial scale of the analysis; some biotic variables were more important at fine scales and some abiotic variables were more important at coarser spatial scales. The urban score of an area was most predictive of infections, and mosquito variables did not improve the explanatory power of these models. Conclusions. Through this multiscale analysis, we identified novel drivers of the spatial distribution of disease and recommend public health interventions. Our results underline that single-scale analyses may paint an incomplete picture of disease drivers, potentially creating a major flaw in epidemiological analyses. Multiscale, ecological analyses are needed to better understand infectious disease transmission. © The 2017 Author(s).","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044501471&doi=10.1093%2finfdis%2fjix615&partnerID=40&md5=a2d32d2c7354d520fe67801c7b23ca6b","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
31790509,"Intra-host growth kinetics of dengue virus in the mosquito Aedes aegypti","Novelo, M. and Hall, M.D. and Pak, D. and Young, P.R. and Holmes, E.C. and McGraw, E.A.","PLoS Pathog. 2019 Dec 2;15(12):e1008218. doi: 10.1371/journal.ppat.1008218. eCollection 2019 Dec.","Novelo M","PLoS Pathog",2019,"2019/12/03","PMC6907869","","10.1371/journal.ppat.1008218","School of Biological Sciences, Monash University, Melbourne, VIC, Australia and Center for Infectious Disease Dynamics, Department of Entomology, Huck Institutes of the Life Sciences, Pennsylvania State University, University Park, PA, United States and Center for Infectious Disease Dynamics, Department of Biology, Huck Institutes of the Life Sciences, Pennsylvania State University, University Park, PA, United States and Australian Infectious Diseases Research Centre, School of Chemistry and Molecular Biosciences, University of Queensland, St Lucia, QLD, Australia and Marie Bashir Institute for Infectious Diseases and Biosecurity, Charles Perkins Centre, School of Life and Environmental Sciences, Sydney Medical School, University of SydneyNSW, Australia","2019","PLoS Pathogens","Dengue virus (DENV) transmission by mosquitoes is a time-dependent process that begins with the consumption of an infectious blood-meal. DENV infection then proceeds stepwise through the mosquito from the midgut to the carcass, and ultimately to the salivary glands, where it is secreted into saliva and then transmitted anew on a subsequent bite. We examined viral kinetics in tissues of the Aedes aegypti mosquito over a finely graded time course, and as per previous studies, found that initial viral dose and serotype strain diversity control infectivity. We also found that a threshold level of virus is required to establish body-wide infections and that replication kinetics in the early and intermediate tissues do not predict those of the salivary glands. Our findings have implications for mosquito GMO design, modeling the contribution of transmission to vector competence and the role of mosquito kinetics in the overall DENV epidemiological landscape. Copyright: © 2019 Novelo et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076448295&doi=10.1371%2fjournal.ppat.1008218&partnerID=40&md5=4cdb7f25861728edfd4ad4f8360292ab","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
30875617,"The antimalarial screening landscape—looking beyond the asexual blood stage","Yahiya, S. and Rueda-Zubiaurre, A. and Delves, M.J. and Fuchter, M.J. and Baum, J.","Curr Opin Chem Biol. 2019 Jun;50:1-9. doi: 10.1016/j.cbpa.2019.01.029. Epub 2019 Mar 12.","Yahiya S","Curr Opin Chem Biol",2019,"2019/03/16","PMC6591700","","10.1016/j.cbpa.2019.01.029","Department of Life Sciences, Imperial College London, Sir Alexander Fleming Building, Exhibition Road, South Kensington, London, SW7 2AZ, United Kingdom and Department of Chemistry, Imperial College London, Molecular Sciences Research Hub, White City Campus, Wood Lane, London, W12 OBZ, United Kingdom and London School of Hygiene and Tropical Medicine, Keppel Street, London, WC1E 7HT, United Kingdom","2019","Current Opinion in Chemical Biology","In recent years, the research agenda to tackle global morbidity and mortality from malaria disease has shifted towards innovation, in the hope that efforts at the frontiers of scientific research may re-invigorate gains made towards eradication. Discovery of new antimalarial drugs with novel chemotypes or modes of action lie at the heart of these efforts. There is a particular interest in drug candidates that target stages of the malaria parasite lifecycle beyond the symptomatic asexual blood stages. This is especially important given the spectre of emerging drug resistance to all current frontline antimalarials. One approach gaining increased interest is the potential of designing novel drugs that target parasite passage from infected individual to feeding mosquito and back again. Action of such therapeutics is geared much more at the population level rather than just concerned with the infected individual. The search for novel drugs active against these stages has been helped by improvements to in vitro culture of transmission and pre-erythrocytic parasite lifecycle stages, robotic automation and high content imaging, methodologies that permit the high-throughput screening (HTS) of compound libraries for drug discovery. Here, we review recent advances in the antimalarial screening landscape, focussed on transmission blocking as a key aim for drug-treatment campaigns of the future. © 2019 The Authors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062634295&doi=10.1016%2fj.cbpa.2019.01.029&partnerID=40&md5=3cc4cd732b3108a53da4117db0c27e63","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
31335440,"Fractional-dose yellow fever vaccination: how much more can we do with less?","Visser, L.G.","Curr Opin Infect Dis. 2019 Oct;32(5):390-393. doi: 10.1097/QCO.0000000000000576.","Visser LG","Curr Opin Infect Dis",2019,"2019/07/24","","","10.1097/QCO.0000000000000576","Department of Infectious Diseases, Leiden University Medical Center, Albinusdreef 2, Leiden, 2333 ZA, Netherlands","2019","Current Opinion in Infectious Diseases","Purpose of review: Climate change, deforestation, urbanization, and increased population mobility have made the risk of large outbreaks of yellow fever more likely than ever. Yellow fever vaccine production barely meets demands. In this review, we address the causes of the recent yellow fever outbreaks, why fractional dose yellow fever vaccination works, the role of virus neutralizing antibodies in the protection against yellow fever, and the need for revaccination. Recent findings: Human activities have profoundly changed the epidemiology of yellow fever. The excess of infectious viral particles in routine yellow fever vaccine batches allows for off-label use of fractional dose yellow fever vaccination in response to emergency situations. Two studies have confirmed long-term protection after fractional dose yellow fever vaccination. The need for the presence of virus neutralizing antibodies (VNA) to protect an individual against yellow fever depends on the epidemiological setting. In case of sylvatic transmission, population immunity is irrelevant for individual protection, as mosquitoes are transmitting the virus from infected nonhuman primates to human. Summary: With the growing connectivity through air travel, countries with high densities of nonimmune populations and of the urban mosquito vector, Aedes aegypti, should ensure that their citizens are properly vaccinated against yellow fever before traveling to a yellow fever endemic country. In the situation of sylvatic transmission, the presence of protective levels of VNA will determine the outcome and may require revaccination at some point in time. Copyright © 2019 Wolters Kluwer Health, Inc. All rights reserved.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071788228&doi=10.1097%2fQCO.0000000000000576&partnerID=40&md5=e59a0cd0f584f5a1db96869ec7440cda","Export Date: 20 December 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analisis/naive_19Dec20/pubmed.csv",2
