PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28051192","Global Warming and Its Health Impact","Rossati A.","Int J Occup Environ Med. 2017 Jan;8(1):7-20. doi: 10.15171/ijoem.2017.963.","Rossati A","Int J Occup Environ Med","2017","2017/01/05","PMC6679631","","10.15171/ijoem.2017.963"
"27580489","Complexity of virus-vector interactions","Kramer LD.","Curr Opin Virol. 2016 Dec;21:81-86. doi: 10.1016/j.coviro.2016.08.008. Epub 2016 Aug 28.","Kramer LD","Curr Opin Virol","2016","2016/09/01","PMC5138088","NIHMS813725","10.1016/j.coviro.2016.08.008"
"31401192","A patent perspective on chikungunya","Dapurkar D, Telang M.","Acta Trop. 2019 Nov;199:105131. doi: 10.1016/j.actatropica.2019.105131. Epub 2019 Aug 8.","Dapurkar D","Acta Trop","2019","2019/08/12","","","10.1016/j.actatropica.2019.105131"
"30474300","Mosquito bloodmeal preferences in two zoological gardens in Germany","Heym EC, Kampen H, Schäfer M, Walther D.","Med Vet Entomol. 2019 Jun;33(2):203-212. doi: 10.1111/mve.12350. Epub 2018 Nov 25.","Heym EC","Med Vet Entomol","2019","2018/11/27","","","10.1111/mve.12350"
"31628631","Evidence that Passerine Birds Act as Amplifying Hosts for Usutu Virus Circulation","Roiz D, Vázquez A, Ruiz S, Tenorio A, Soriguer R, Figuerola J.","Ecohealth. 2019 Dec;16(4):734-742. doi: 10.1007/s10393-019-01441-3. Epub 2019 Oct 18.","Roiz D","Ecohealth","2019","2019/10/20","","","10.1007/s10393-019-01441-3"
"30107815","Bionomics and vectorial role of anophelines in wetlands along the volcanic chain of Cameroon","Amvongo-Adjia N, Wirsiy EL, Riveron JM, Chounna Ndongmo WP, Enyong PA, Njiokou F, Wondji CS, Wanji S.","Parasit Vectors. 2018 Aug 14;11(1):471. doi: 10.1186/s13071-018-3041-z.","Amvongo-Adjia N","Parasit Vectors","2018","2018/08/16","PMC6092805","","10.1186/s13071-018-3041-z"
"29216368","Ross River Virus and the Necessity of Multiscale, Eco-epidemiological Analyses","Flies EJ, Weinstein P, Anderson SJ, Koolhof I, Foufopoulos J, Williams CR.","J Infect Dis. 2018 Feb 14;217(5):807-815. doi: 10.1093/infdis/jix615.","Flies EJ","J Infect Dis","2018","2017/12/08","","","10.1093/infdis/jix615"
"31790509","Intra-host growth kinetics of dengue virus in the mosquito Aedes aegypti","Novelo M, Hall MD, Pak D, Young PR, Holmes EC, McGraw EA.","PLoS Pathog. 2019 Dec 2;15(12):e1008218. doi: 10.1371/journal.ppat.1008218. eCollection 2019 Dec.","Novelo M","PLoS Pathog","2019","2019/12/03","PMC6907869","","10.1371/journal.ppat.1008218"
"30875617","The antimalarial screening landscape-looking beyond the asexual blood stage","Yahiya S, Rueda-Zubiaurre A, Delves MJ, Fuchter MJ, Baum J.","Curr Opin Chem Biol. 2019 Jun;50:1-9. doi: 10.1016/j.cbpa.2019.01.029. Epub 2019 Mar 12.","Yahiya S","Curr Opin Chem Biol","2019","2019/03/16","PMC6591700","","10.1016/j.cbpa.2019.01.029"
"31335440","Fractional-dose yellow fever vaccination: how much more can we do with less?","Visser LG.","Curr Opin Infect Dis. 2019 Oct;32(5):390-393. doi: 10.1097/QCO.0000000000000576.","Visser LG","Curr Opin Infect Dis","2019","2019/07/24","","","10.1097/QCO.0000000000000576"
