species,pseudoreplicates,true_replicates
Aedes_scapularis,25,4
Psorophora_albigenu,18,3
Aedes_serratus,15,4
Psorophora_ferox,14,4
Culex_quinquefasciatus,8,7
Aedes_aegypti,7,5
Haemagogus_leucocelaenus,6,2
Aedes_albopictus,5,3
Anopheles_cruzii,5,3
Culex_restuans,5,4
Mansonia_titillans,5,4
Aedes_terrens,4,2
Aedes_vexans,4,4
Aedes_crinifer,3,1
Aedes_fulvus,3,2
Anopheles_albitarsis,3,2
Anopheles_darlingi,3,1
Anopheles_evansae,3,2
Anopheles_punctipennis,3,2
Chagasia_fajardi,3,1
Coquillettidia_venezuelensis,3,3
Culex_erraticus,3,3
Culex_pipiens,3,2
Culex_territans,3,3
Sabethes_albiprivus,3,1
Aedes_mediovittatus,2,1
Aedes_quadrivittatus,2,1
Culex_tarsalis,2,2
Mansonia_humeralis,2,1
Psorophora_albipes,2,1
Runchomyia_theobaldi,2,1
Sabethes_quasicyaneus,2,1
Trichoprosopon_digitatum,2,1
Aedes_sticticus,1,1
Aedes_triseriatus,1,1
Anopheles_apicimacula,1,1
Anopheles_aquasalis,1,1
Anopheles_argyritarsis,1,1
Anopheles_benarrochi,1,1
Anopheles_eiseni,1,1
Anopheles_intermedius,1,1
Anopheles_minor,1,1
Anopheles_punctimacula,1,1
Anopheles_quadrimaculatus,1,1
Anopheles_rangeli,1,1
Anopheles_strodei,1,1
Anopheles_triannulatus,1,1
Coquillettidia_juxtamansonia,1,1
Coquillettidia_perturbans,1,1
Culex_(Melanoconion)_sp.,1,1
Culex_bastagarius,1,1
Culex_coronator,1,1
Culex_declarator,1,1
Culex_erythrothorax,1,1
Culex_nigripalpus,1,1
Culex_peccator,1,1
Culex_pleuristriatus,1,1
Culex_salinarius,1,1
Culex_usquatus,1,1
Haemagogus_janthinomys/capricornii,1,1
Mansonia_indubitans,1,1
Psorophora_cingulata,1,1
Psorophora_discrucians,1,1
Sabethes_chloropterus,1,1
Wyeomyia_adelpha,1,1
Wyeomyia_sp.,1,1
